Locality,Type,Rent/Month,Build_up_area(sq.ft),Furnishing,Bathrooms,Balcony,Parking,Carpet_area(sq.ft),
Bandra,3 BHK Apartment,500000,1500 sq.ft,Unfurnished,3,3,1,1300 sq.ft,Karen
Prabhadevi,3 BHK Apartment,500000,2200 sq.ft,Fully Furnished,3,1,2,1500 sq.ft,Karen
Malabar Hill,3 BHK Apartment,450000,2250 sq.ft,Unfurnished,4,Missing,0,2000 sq.ft,Karen
Nariman Point,3 BHK Apartment,450000,2880 sq.ft,Unfurnished,4,Missing,0,2500 sq.ft,Karen
Nariman Point,3 BHK Apartment,425000,2880 sq.ft,Unfurnished,3,1,2,2200 sq.ft,Karen
Khar,3 BHK Apartment,400000,2500 sq.ft,Fully Furnished,3,Missing,3,2200 sq.ft,Karen
Malabar Hill,3 BHK Apartment,400000,2250 sq.ft,Fully Furnished,3,2,2,Missing,Karen
Malabar Hill,3 BHK Apartment,400000,2700 sq.ft,Unfurnished,3,2,2,2500 sq.ft,Karen
Tardeo,3 BHK Apartment,400000,2550 sq.ft,Unfurnished,4,1,2,1788 sq.ft,Karen
Bandra,3 BHK Apartment,350000,1800 sq.ft,Unfurnished,3,Missing,3,1700 sq.ft,Karen
Juhu,3 BHK Apartment,350000,2000 sq.ft,Unfurnished,3,Missing,2,1800 sq.ft,Karen
Juhu,3 BHK Apartment,350000,2160 sq.ft,Unfurnished,3,Missing,2,1800 sq.ft,Karen
Tardeo,3 BHK Apartment,350000,2400 sq.ft,Unfurnished,3,1,1,1900 sq.ft,Karen
Tardeo,3 BHK Apartment,350000,3500 sq.ft,Unfurnished,4,Missing,0,2000 sq.ft,Karen
Juhu,3 BHK Apartment,250000,2400 sq.ft,Unfurnished,2,2,2,2000 sq.ft,Runda
Juhu,3 BHK Apartment,250000,2400 sq.ft,Unfurnished,4,1,1,1800 sq.ft,Runda
Juhu,3 BHK Apartment,250000,2100 sq.ft,Unfurnished,3,Missing,1,1250 sq.ft,Runda
Juhu,3 BHK Apartment,250000,2400 sq.ft,Unfurnished,3,3,2,1800 sq.ft,Runda
Juhu,3 BHK Apartment,250000,1800 sq.ft,Unfurnished,3,3,1,Missing,Runda
Juhu,3 BHK Apartment,250000,2400 sq.ft,Unfurnished,3,3,1,1800 sq.ft,Runda
Mahalakshmi,3 BHK Apartment,250000,2700 sq.ft,Unfurnished,Missing,Missing,0,1750 sq.ft,Runda
Mahalakshmi,3 BHK Apartment,250000,2700 sq.ft,Unfurnished,Missing,Missing,0,1750 sq.ft,Runda
Mahalakshmi,3 BHK Apartment,250000,2500 sq.ft,Unfurnished,4,3,4,2400 sq.ft,Runda
Nariman Point,2 BHK Apartment,215000,1600 sq.ft,Unfurnished,2,1,1,1376 sq.ft,Runda
Worli,3 BHK Apartment,250000,3150 sq.ft,Unfurnished,6,1,,2100 sq.ft,Runda
Worli,3 BHK Apartment,300000,3050 sq.ft,Fully Furnished,4,2,3,2100 sq.ft,Runda
Bandra,3 BHK Apartment,275000,2000 sq.ft,Fully Furnished,3,1,1,1950 sq.ft,Runda
Prabhadevi,3 BHK Apartment,275000,1600 sq.ft,Fully Furnished,3,Missing,2,Missing,Runda
Prabhadevi,3 BHK Apartment,275000,1850 sq.ft,Fully Furnished,3,Missing,0,1280 sq.ft,Runda
Prabhadevi,3 BHK Apartment,275000,1850 sq.ft,Fully Furnished,3,3,0,1280 sq.ft,Runda
Worli,3 BHK Apartment,275000,2850 sq.ft,Fully Furnished,4,2,2,2100 sq.ft,Runda
Nariman Point,3 BHK Apartment,270000,1350 sq.ft,Fully Furnished,3,Missing,0,Missing,Runda
Worli,3 BHK Apartment,270000,2500 sq.ft,Fully Furnished,3,3,2,2000 sq.ft,Runda
Prabhadevi,3 BHK Apartment,265000,2000 sq.ft,Fully Furnished,3,2,2,1600 sq.ft,Runda
Bandra,3 BHK Apartment,260000,2500 sq.ft,Fully Furnished,5,Missing,1,2000 sq.ft,Runda
Bandra,3 BHK Apartment,250000,2200 sq.ft,Fully Furnished,3,2,2,2076 sq.ft,Runda
Bandra,3 BHK Apartment,250000,1500 sq.ft,Fully Furnished,3,2,1,1350 sq.ft,Runda
Bandra,3 BHK Apartment,250000,2000 sq.ft,Fully Furnished,3,2,1,1600 sq.ft,Runda
Bandra,2 BHK Apartment,200000,1200 sq.ft,Fully Furnished,2,1,0,1000 sq.ft,Runda
Bandra,3 BHK Apartment,250000,1400 sq.ft,Fully Furnished,3,Missing,1,1250 sq.ft,Runda
Bandra,3 BHK Apartment,250000,1500 sq.ft,Fully Furnished,3,3,1,1350 sq.ft,Runda
Juhu,3 BHK Apartment,250000,2700 sq.ft,Fully Furnished,4,2,2,2500 sq.ft,Runda
Juhu,3 BHK Apartment,250000,2160 sq.ft,Fully Furnished,3,1,2,1800 sq.ft,Runda
Juhu,3 BHK Apartment,250000,3200 sq.ft,Fully Furnished,4,3,2,2200 sq.ft,Runda
Khar,3 BHK Apartment,250000,2000 sq.ft,Fully Furnished,3,3,2,1800 sq.ft,Runda
Malabar Hill,2 BHK Apartment,200000,1400 sq.ft,Fully Furnished,2,2,1,1300 sq.ft,Runda
Marine Drive,3 BHK Apartment,250000,1700 sq.ft,Fully Furnished,3,Missing,1,1500 sq.ft,Runda
Parel,3 BHK Apartment,250000,2500 sq.ft,Fully Furnished,4,2,1,2090 sq.ft,Runda
Tardeo,3 BHK Apartment,250000,2000 sq.ft,Fully Furnished,4,2,3,Missing,Runda
Tardeo,3 BHK Apartment,250000,2200 sq.ft,Fully Furnished,4,1,2,1800 sq.ft,Runda
Worli,3 BHK Apartment,250000,3520 sq.ft,Unfurnished,Missing,Missing,0,2200 sq.ft,Runda
Worli,3 BHK Apartment,250000,1700 sq.ft,Fully Furnished,3,Missing,2,Missing,Runda
Worli,3 BHK Apartment,250000,2350 sq.ft,Fully Furnished,4,Missing,,1650 sq.ft,Runda
Worli,3 BHK Apartment,250000,3200 sq.ft,Fully Furnished,4,2,2,1900 sq.ft,Runda
Worli,3 BHK Apartment,250000,3200 sq.ft,Fully Furnished,4,2,2,1900 sq.ft,Runda
Juhu,3 BHK Apartment,240000,1700 sq.ft,Fully Furnished,3,1,2,1200 sq.ft,Muthaiga
Juhu,3 BHK Apartment,240000,1700 sq.ft,Fully Furnished,3,Missing,1,1300 sq.ft,Muthaiga
Khar,3 BHK Apartment,240000,1600 sq.ft,Fully Furnished,3,1,1,1400 sq.ft,Muthaiga
Santacruz,3 BHK Apartment,240000,2000 sq.ft,Fully Furnished,3,1,2,1300 sq.ft,Muthaiga
Worli,3 BHK Apartment,235000,2400 sq.ft,Fully Furnished,4,Missing,2,1750 sq.ft,Muthaiga
Bandra,3 BHK Apartment,230000,2800 sq.ft,Fully Furnished,4,1,3,2000 sq.ft,Muthaiga
Bandra,3 BHK Apartment,225000,2500 sq.ft,Fully Furnished,2,2,1,2200 sq.ft,Muthaiga
Juhu,3 BHK Apartment,225000,2160 sq.ft,Fully Furnished,2,2,2,1800 sq.ft,Muthaiga
Juhu,3 BHK Apartment,225000,2160 sq.ft,Fully Furnished,3,2,2,1800 sq.ft,Muthaiga
Juhu,3 BHK Apartment,225000,2160 sq.ft,Fully Furnished,3,Missing,0,1800 sq.ft,Muthaiga
Juhu,3 BHK Apartment,250000,1800 sq.ft,Unfurnished,3,Missing,1,1200 sq.ft,Muthaiga
Khar,3 BHK Apartment,225000,2000 sq.ft,Fully Furnished,4,1,2,1450 sq.ft,Muthaiga
Khar,3 BHK Apartment,225000,1500 sq.ft,Fully Furnished,4,3,2,1350 sq.ft,Muthaiga
